"fr","en","color"
"Holocène","Holocene","#FEF2E0"
"Pléistocène supérieur","Upper Pleistocene","#FFF2D3"
"Ionien","Ionian","#FFF2C7"
"Calabrien","Calabrian","#FFF2BA"
"Gélasien","Gelasian","#FFEDB3"
"Pléistocène","Pleistocene","#FFF2AE"
"Quaternaire","Quaternary","#F9F97F"
"Plaisancien","Piacenzian","#FFFFBF"
"Zancléen","Zanclean","#FFFFB3"
"Pilocène","Pliocene","#FFFF99"
"Messinien","Messinian","#FFFF73"
"Tortonien","Tortonian","#FFFF66"
"Serravallien","Serravallian","#FFFF59"
"Langhien","Langhian","#FFFF4D"
"Burdigalien","Burdigalian","#FFFF41"
"Aquitanien","Aquitanian","#FFFF33"
"Miocène","Miocene","#FFFF00"
"Néogène","Neogene","#FFE619"
"Chattien","Chattian","#FEE6AA"
"Rupélien","Rupelian","#FED99A"
"Oligocène","Oligocene","#FDC07A"
"Priabonien","Priabonian","#FDCDA1"
"Bartonien","Bartonian","#FDC091"
"Lutétien","Lutetian","#FCB482"
"Yprésien","Ypresian","#FCA773"
"Éocène","Eocene","#FDB46C"
"Thanétien","Thanetian","#FDBF6F"
"Sélandien","Selandian","#FEBF65"
"Danien","Danian","#FDB462"
"Paléocène","Paleocene","#FDA75F"
"Paléogène","Paleogene","#FD9A52"
"Cénozoïque","Cenozoic","#F2F91D"
"Maastrichtien","Maastrichtian","#F2FA8C"
"Campanien","Campanian","#E6F47F"
"Santonien","Santonian","#D9EF74"
"Coniacien","Coniacian","#CCE968"
"Turonien","Turonian","#BFE35D"
"Cénomanien","Cenomanian","#B3DE53"
"Crétacé supérieur","Upper Cretaceous","#A6D84A"
"Albien","Albian","#CCEA97"
"Aptien","Aptian","#BFE48A"
"Barrémien","Barremian","#B3DF7F"
"Hauterivien","Hauterivian","#A6D975"
"Valanginien","Valanginian","#99D36A"
"Berriasien","Berriasian","#8CCD60"
"Crétacé inférieur","Lower Cretaceous","#8CCD57"
"Crétacé","Cretaceous","#7FC64E"
"Tithonien","Tithonian","#D9F1F7"
"Kimméridgien","Kimmeridgian","#CCECF4"
"Oxfordien","Oxfordian","#BFE7F1"
"Jurassique supérieur","Upper Jurassic","#B3E3EE"
"Callovien","Callovian","#BFE7E5"
"Bathonien","Bathonian","#B3E2E3"
"Bajocien","Bajocian","#A6DDE0"
"Aalénien","Aalenian","#9AD9DD"
"Jurassique moyen","Middle Jurassic","#80CFD8"
"Toarcien","Toarcian","#99CEE3"
"Pliensbachien","Pliensbachian","#80C5DD"
"Sinémurien","Sinemurian","#67BCD8"
"Hettangien","Hettangian","#4EB3D3"
"Jurassique inférieur","Lower Jurassic","#42AED0"
"Jurassique","Jurassic","#34B2C9"
"Rhétien","Rhaetian","#E3B9DB"
"Norien","Norian","#D6AAD3"
"Carnien","Carnian","#C99BCB"
"Trias supérieur","Upper Triassic","#BD8CC3"
"Ladinien","Ladinian","#C983BF"
"Anisien","Anisian","#BC75B7"
"Trias moyen","Middle Triassic","#B168B1"
"Olénékien","Olenekian","#B051A5"
"Indusien","Induan","#A4469F"
"Trias inférieur","Lower Triassic","#983999"
"Trias","Triassic","#812B92"
"Mésozoïque","Mesozoic","#67C5CA"
"Changhsingien","Changhsingian","#FCC0B2"
"Wuchiapingien","Wuchiapingian","#FCB4A2"
"Lopingien","Lopingian","#FBA794"
"Capitanien","Capitanian","#FB9A85"
"Wordien","Wordian","#FB8D76"
"Roadien","Roadian","#FB8069"
"Guadalupien","Guadalupian","#FB745C"
"Kungurien","Kungurian","#E38776"
"Artinskien","Artinskian","#E37B68"
"Sakmarien","Sakmarian","#E36F5C"
"Assélien","Asselian","#E36350"
"Cisuralien","Cisuralian","#EF5845"
"Permien","Permian","#F04028"
"Gzhélien","Gzhelian","#CCD4C7"
"Kasimovien","Kasimovian","#BFD0C5"
"Pennsylvanien supérieur","Upper Pennsylvanian","#BFD0BA"
"Moscovien","Moscovian","#B3CBB9"
"Pennsylvanien moyen","Middle Pennsylvanian","#A6C7B7"
"Bashkirien","Bashkirian","#99C2B5"
"Pennsylvanien inférieur","Lower Pennsylvanian","#8CBEB4"
"Pennsylvanien","Pennsylvanian","#99C2B5"
"Serpukhovien","Serpukhovian","#BFC26B"
"Mississippien supérieur","Upper Mississippian","#B3BE6C"
"Viséen","Visean","#A6B96C"
"Mississippien moyen","Middle Mississippian","#99B46C"
"Tournaisien","Tournaisian","#8CB06C"
"Mississippien inférieur","Lower Mississippian","#80AB6C"
"Mississippien inférieur","Mississippian","#678F66"
"Carbonifère","Carboniferous","#67A599"
"Famennien","Famennian","#F2EDC5"
"Frasnien","Frasnian","#F2EDAD"
"Dévonien supérieur","Upper Devonian","#F1E19D"
"Givétien","Givetian","#F1E185"
"Eifélien","Eifelian","#F1D576"
"Dévonien moyen","Middle Devonian","#F1C868"
"Emsien","Emsian","#E5D075"
"Praguien","Pragian","#E5C468"
"Lochkovien","Lochkovian","#E5B75A"
"Dévonien inférieur","Lower Devonian","#E5AC4D"
"Dévonien","Devonian","#CB8C37"
"Pridoli","Pridoli","#E6F5E1"
"Ludfordien","Ludfordian","#D9F0DF"
"Gorstien","Gorstian","#CCECDD"
"Ludlow","Ludlow","#BFE6CF"
"Homérien","Homerian","#CCEBD1"
"Sheinwoodien","Sheinwoodian","#BFE6C3"
"Wenlock","Wenlock","#B3E1C2"
"Télychien","Telychian","#BFE6CF"
"Aéronien","Aeronian","#B3E1C2"
"Rhuddanien","Rhuddanian","#A6DCB5"
"Llandovery","Llandovery","#99D7B3"
"Silurien","Silurian","#B3E1B6"
"Hirnantien","Hirnantian","#A6DBAB"
"Katien","Katian","#99D69F"
"Sandbien","Sandbian","#8CD094"
"Ordovicien supérieur","Upper Ordovician","#7FCA93"
"Darriwilien","Darriwilian","#74C69C"
"Dapingien","Dapingian","#66C092"
"Ordovicien moyen","Middle Ordovician","#4DB47E"
"Floien","Floian","#41B087"
"Trémadocien","Tremadocian","#33A97E"
"Ordovicien inférieur","Lower Ordovician","#1A9D6F"
"Ordovicien","Ordovician","#009270"
"Étage 10","Stage 10","#E6F5C9"
"Jiangshanien","Jiangshanian","#D9F0BB"
"Paibien","Paibian","#CCEBAE"
"Furongien","Furongian","#B3E095"
"Guzhangien","Guzhangian","#CCDFAA"
"Drumien","Drumian","#BFD99D"
"Wuliuen","Wuliuan","#B3D492"
"Miaolingien","Miaolingian","#A6CF86"
"Étage 4","Stage 4","#B3CA8E"
"Étage 3","Stage 3","#A6C583"
"Série 2","Series 2","#99C078"
"Étage 2","Stage 2","#A6BA80"
"Fortunien","Fortunian","#99B575"
"Terreneuvien","Terreneuvian","#8CB06C"
"Cambrien","Cambrian","#7FA056"
"Paléozoïque","Paleozoic","#99C08D"
"Phanérozoïque","Phanerozoic","#9AD9DD"
"Édiacarien","Ediacaran","#FED96A"
"Cryogénien","Cryogenian","#FECC5C"
"Tonien","Tonian","#FEBF4E"
"Néoprotérozoïque","Neoproterozoic","#FEB342"
"Sténien","Stenian","#FED99A"
"Ectasien","Ectasian","#FDCC8A"
"Calymmien","Calymmian","#FDC07A"
"Mésoprotérozoïque","Mesoproterozoic","#FDB462"
"Stathérien","Statherian","#F875A7"
"Orosirien","Orosirian","#F76898"
"Rhyacien","Rhyacian","#F75B89"
"Sidérien","Siderian","#F74F7C"
"Paléoprotérozoïque","Paleoproterozoic","#F74370"
"Protérozoïque","Proterozoic","#F73563"
"Néoarchéen","Neoarchean","#F881B5"
"Mésoarchéen","Mesoarchean","#F881B5"
"Paléoarchéen","Paleoarchean","#F668B2"
"Éoarchéen","Eoarchean","#E61D8C"
"Archéen","Archean","#F0047F"
"Hadéen","Hadean","#AE027E"
"Précambrien","Precambrian","#F74370"
